underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2006-04-03,SFB,2006-09-16,130.000,C,5.6000,5.6000,5.6000,5.6000,122,24175,5.2000,758,5.3000,129.8400,129.8400,128.6984,129.8300,0.1278,0.5713,0.0348,-0.0187,0.3390,31.1611,5640,5.1000,1753,5.3000,129.7000,129.7100,5.6000,21313,
SPY,2006-04-03,SFB,2006-09-16,130.000,P,3.5000,3.6100,3.2000,3.6100,114,2853,3.5000,47705,3.6000,129.8400,129.8400,128.6984,129.8300,0.1225,-0.4184,0.0363,-0.0074,0.3387,-26.1153,7594,3.5000,7692,3.7000,129.7000,129.7100,3.3882,15349,
SPY,2006-04-03,SFB,2006-09-16,131.000,C,4.6000,4.6000,4.6000,4.6000,248,9255,4.6000,11319,4.7000,129.8400,129.8400,128.6984,129.8300,0.1252,0.5365,0.0360,-0.0184,0.3435,29.3924,6378,4.5000,5019,4.7000,129.7000,129.7100,4.6000,4202,
SPY,2006-04-03,SFB,2006-09-16,131.000,P,3.8000,3.8000,3.8000,3.8000,10,13660,3.9000,17310,4.0000,129.8400,129.8400,128.6984,129.8300,0.1197,-0.4546,0.0376,-0.0069,0.3435,-28.4061,8067,3.9000,1419,4.1000,129.7000,129.7100,3.8000,4730,
SPY,2006-04-03,SFB,2006-09-16,132.000,C,0.0000,0.0000,0.0000,0.0000,0,21934,4.0000,665,4.1000,129.8400,129.8400,128.6984,129.8300,0.1217,0.5001,0.0372,-0.0177,0.3453,27.5236,10308,3.9000,1132,4.1000,129.7000,129.7100,0.0000,3851,
SPY,2006-04-03,SFB,2006-09-16,132.000,P,4.5000,4.5000,4.5000,4.5000,223,21277,4.3000,44166,4.5000,129.8400,129.8400,128.6984,129.8300,0.1171,-0.4925,0.0387,-0.0062,0.3453,-30.8159,5020,4.4000,7665,4.6000,129.7000,129.7100,4.5000,6442,
SPY,2006-04-03,SFB,2006-09-16,133.000,C,3.7000,3.7000,3.5000,3.5000,506,5220,3.5000,16548,3.6000,129.8400,129.8400,128.6984,129.8300,0.1200,0.4627,0.0376,-0.0172,0.3441,25.5585,6274,3.4000,250,3.5000,129.7000,129.7100,3.5014,9413,
SPY,2006-04-03,SFB,2006-09-16,133.000,P,0.0000,0.0000,0.0000,0.0000,0,22321,4.8000,43784,5.0000,129.8400,129.8400,128.6984,129.8300,0.1147,-0.5318,0.0393,-0.0054,0.3439,-33.3241,4930,4.9000,1365,5.1000,129.7000,129.7100,0.0000,3385,
SPY,2006-04-03,SFB,2006-09-16,134.000,C,0.0000,0.0000,0.0000,0.0000,0,8182,3.0000,15753,3.1000,129.8400,129.8400,128.6984,129.8300,0.1173,0.4240,0.0380,-0.0164,0.3396,23.5125,8621,2.9000,5863,3.1000,129.7000,129.7100,0.0000,5439,
SPY,2006-04-03,SFB,2006-09-16,134.000,P,0.0000,0.0000,0.0000,0.0000,0,13667,5.4000,35031,5.6000,129.8400,129.8400,128.6984,129.8300,0.1138,-0.5707,0.0391,-0.0046,0.3391,-35.8507,22,5.5000,4320,5.7000,129.7000,129.7100,0.0000,1600,
SPY,2006-04-03,SFB,2006-09-16,135.000,C,0.0000,0.0000,0.0000,0.0000,0,17458,2.5500,250,2.6000,129.8400,129.8400,128.6984,129.8300,0.1142,0.3840,0.0381,-0.0154,0.3315,21.3782,288,2.5000,277,2.6000,129.7000,129.7100,0.0000,6678,
SPY,2006-04-03,SFB,2006-09-16,135.000,P,0.0000,0.0000,0.0000,0.0000,0,13960,6.0000,35528,6.2000,129.8400,129.8400,128.6984,129.8300,0.1111,-0.6113,0.0390,-0.0035,0.3305,-38.4743,125,6.1000,1610,6.3000,129.7000,129.7100,0.0000,1437,
SPY,2006-04-03,SFB,2006-09-16,136.000,C,2.2500,2.4000,2.2500,2.3000,47,10214,2.1500,250,2.2000,129.8400,129.8400,128.6984,129.8300,0.1121,0.3449,0.0375,-0.0144,0.3199,19.2643,288,2.1000,279,2.2000,129.7000,129.7100,2.3011,4868,
